10:07:35.248 [jobmanager-io-thread-7] INFO  o.a.f.r.c.CheckpointCoordinator - Completed checkpoint 3 for job 6e3e1ef64fec86fb250a1c2a8ee4887a (13656 bytes, checkpointDuration=7 ms, finalizationTime=0 ms).
10:08:35.234 [Checkpoint Timer] INFO  o.a.f.r.c.CheckpointCoordinator - Triggering checkpoint 4 (type=CheckpointType{name='Checkpoint', sharingFilesStrategy=FORWARD_BACKWARD}) @ 1747616915233 for job 6e3e1ef64fec86fb250a1c2a8ee4887a.
10:08:35.242 [jobmanager-io-thread-1] INFO  o.a.f.r.c.CheckpointCoordinator - Completed checkpoint 4 for job 6e3e1ef64fec86fb250a1c2a8ee4887a (13656 bytes, checkpointDuration=9 ms, finalizationTime=0 ms).
10:09:35.234 [Checkpoint Timer] INFO  o.a.f.r.c.CheckpointCoordinator - Triggering checkpoint 5 (type=CheckpointType{name='Checkpoint', sharingFilesStrategy=FORWARD_BACKWARD}) @ 1747616975233 for job 6e3e1ef64fec86fb250a1c2a8ee4887a.
10:09:35.238 [jobmanager-io-thread-2] INFO  o.a.f.r.c.CheckpointCoordinator - Completed checkpoint 5 for job 6e3e1ef64fec86fb250a1c2a8ee4887a (13656 bytes, checkpointDuration=5 ms, finalizationTime=0 ms).
10:10:22.074 [Legacy Source Thread - Source: 영수증 데이터 소스 -> Map -> 오늘 영수증 필터 (1/1)#0] INFO  c.e.brand_sales.BrandAnalyticsApp - 영수증 수신: franchise_id=2, brand=대한국밥, store=구미봉곡로점, time=2025-05-19 10:10:20, amount=175000
10:10:22.075 [Legacy Source Thread - Source: 영수증 데이터 소스 -> Map -> 오늘 영수증 필터 (1/1)#0] INFO  c.e.b.functions.TodayReceiptFilter - Receipt time: 2025-05-19 10:10:20, Today: 2025-05-19, Filter result: true
10:10:22.079 [Legacy Source Thread - Source: 영수증 데이터 소스 -> Map -> 오늘 영수증 필터 (1/1)#0] INFO  c.e.brand_sales.BrandAnalyticsApp - 영수증 수신: franchise_id=8, brand=백스비어, store=광주첨단점, time=2025-05-19 10:10:20, amount=20700
10:10:22.080 [Legacy Source Thread - Source: 영수증 데이터 소스 -> Map -> 오늘 영수증 필터 (1/1)#0] INFO  c.e.b.functions.TodayReceiptFilter - Receipt time: 2025-05-19 10:10:20, Today: 2025-05-19, Filter result: true
10:10:22.080 [Legacy Source Thread - Source: 영수증 데이터 소스 -> Map -> 오늘 영수증 필터 (1/1)#0] INFO  c.e.brand_sales.BrandAnalyticsApp - 영수증 수신: franchise_id=13, brand=역전우동0410, store=신대방삼거리역점, time=2025-05-19 10:10:20, amount=64500
